net,length_um
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[3\],191.44
_09972_,191.4
_07567_,191.3
_05150_,191.26
_07170_,190.88
_01945_,190.745
_06948_,190.51
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.acc_low\[4\],190.2
net266,190.04
_02556_,189.86
_09928_,189.84
_04433_,189.78
_07556_,189.52
_07959_,189.44
_10419_,188.9
_02387_,188.64
stage8_inst.in0\[26\],188.46
stage8_inst.in2\[11\],188.3
_10608_,188.24
_11995_,187.96
_04316_,187.94
stage8_inst.in2\[25\],187.78
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[24\],187.62
_11210_,187.6
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[30\],187.51
net404,187.4
_06469_,186.9
_11004_,186.33
_02704_,186.3
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[7\],185.88
_05272_,185.74
_03579_,185.7
_06265_,185.58
stage8_inst.in2\[10\],185.06
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.a\[12\],185.02
_07954_,184.82
_07826_,184.34
_02510_,184.315
_06967_,184.11
stage8_inst.in2\[8\],183.98
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[29\],183.86
net453,183.85
_10864_,183.78
_07834_,183.64
_09942_,183.62
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[2\],183.56
_03068_,183.24
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[26\],183.22
_07962_,183.02
_07033_,182.84
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[0\],182.61
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.b\[24\],182.58
net247,182.57
_06459_,182.44
_08399_,182.26
_05029_,181.8
stage8_inst.in2\[16\],181.58
_11364_,181.53
net188,181.47
net423,181.27
_08268_,181.06
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[25\],180.64
_04810_,180.625
net273,180.49
_03317_,180.48
_07271_,180.28
stage8_inst.in2\[17\],180.12
_04785_,180.08
_08495_,180.035
_10374_,179.84
_10610_,179.56
_08860_,178.92
net371,178.74
_05027_,178.68
_07031_,178.535
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.a\[13\],178.46
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.b\[2\],178.44
_07539_,178.37
stage8_inst.in0\[30\],178.36
_02825_,178.3
stage8_inst.in0\[28\],178.26
_02322_,178.18
_08305_,178
_11992_,177.93
_05386_,177.87
net235,177.86
_02330_,177.69
net89,177.6
_02834_,177.48
net211,177.48
_02623_,177.29
stage8_inst.in2\[9\],176.92
_10504_,176.66
_05028_,176.39
net458,176.38
net234,175.9
_07030_,175.56
_09166_,175.54
_11128_,175.38
net367,175.05
net354,174.89
_07390_,174.845
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[20\],174.78
_07944_,174.34
stage8_inst.in0\[2\],174.14
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[24\],173.675
net213,173.67
_07967_,173.575
_03483_,173.56
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[27\],173.48
_08761_,172.78
_05408_,172.775
net413,172.76
_06692_,172.74
_10399_,172.68
_07830_,172.64
_10074_,172.54
net405,172.39
_08426_,172.34
net381,172.31
_06858_,171.89
_10413_,171.68
_04296_,171.64
_04878_,171.46
_11742_,171.415
_04787_,171.02
_03312_,170.94
_02363_,170.92
_08644_,170.24
_04879_,170.05
_02937_,169.56
_03066_,169.455
_07926_,169.38
_05271_,169.07
_04479_,169.06
stage8_inst.in6\[11\],169.02
_02820_,168.765
